Time(ms) photo_num Photo_Time speed steer_pos servo_pos sonar_dist lon lat gps_time magx magy magz gyroz delta_enc_counts
4821 24 0 0 570 102 0 -1 -1 -1 35.2 -33.6 -83.6 -0.01 0
4858 24 0 0 570 105 0 -1 -1 -1 35.2 -33.6 -83.6 -0.01 0
4897 25 0 0 570 108 3193 -1 -1 -1 35.6 -34.0 -83.1 -0.01 0
4934 25 0 0 570 111 0 -1 -1 -1 35.6 -34.0 -83.1 -0.01 0
4972 25 0 0 570 114 0 -1 -1 -1 35.3 -33.8 -83.0 -0.01 0
5011 25 0 0 570 117 2721 -1 -1 -1 35.3 -33.8 -83.0 -0.01 0
5049 25 0 0 570 120 2628 -1 -1 -1 35.3 -33.8 -83.0 -0.01 0
5087 26 0 0 570 117 2255 -1 -1 -1 35.8 -33.7 -82.8 -0.01 0
5125 26 0 0 570 114 0 -1 -1 -1 35.8 -33.7 -82.8 -0.01 0
5163 26 0 0 570 111 0 -1 -1 -1 35.7 -34.0 -82.7 -0.01 0
5201 26 0 0 570 108 0 -1 -1 -1 35.7 -34.0 -82.7 -0.01 0
5239 26 0 0 570 105 0 -1 -1 -1 35.4 -33.9 -83.1 -0.01 0
5277 27 0 0 570 102 0 -1 -1 -1 35.4 -33.9 -83.1 -0.01 0
5315 27 0 0 570 99 0 -1 -1 -1 35.3 -33.2 -83.1 -0.01 0
5353 27 0 0 570 96 0 -1 -1 -1 35.3 -33.5 -82.8 -0.01 0
5391 27 0 0 570 93 0 -1 -1 -1 35.3 -33.5 -82.8 -0.01 0
5429 27 0 0 570 90 0 -1 -1 -1 35.4 -33.5 -82.9 -0.01 0
5467 28 0 0 570 87 0 -1 -1 -1 35.4 -33.5 -82.9 -0.01 0
5505 28 0 0 570 84 0 -1 -1 -1 35.6 -33.8 -83.1 -0.01 0
5543 28 0 0 570 81 2509 -1 -1 -1 35.6 -33.8 -83.1 -0.01 0
5581 28 0 0 570 78 2417 -1 -1 -1 35.2 -33.8 -83.0 -0.01 0
5619 28 0 0 570 75 2725 -1 -1 -1 35.2 -33.8 -83.0 -0.01 0
5658 29 0 0 570 72 0 -1 -1 -1 35.2 -33.8 -83.0 -0.01 0
5696 29 0 0 570 69 0 -1 -1 -1 34.9 -33.8 -83.1 -0.01 0
5734 29 0 0 570 66 1201 -1 -1 -1 34.9 -33.8 -83.1 -0.01 0
5774 29 0 0 570 63 943 -1 -1 -1 35.5 -34.0 -83.1 -0.01 0
5812 29 0 0 570 60 834 -1 -1 -1 35.5 -34.0 -83.1 -0.01 0
5850 30 0 0 570 57 843 -1 -1 -1 35.3 -33.6 -82.7 -0.01 0
5887 30 0 0 570 54 857 -1 -1 -1 35.3 -33.6 -82.7 -0.01 0
5925 30 0 0 570 51 885 -1 -1 -1 35.5 -34.0 -83.2 -0.01 0
5964 30 0 0 570 48 897 -1 -1 -1 35.5 -33.6 -83.0 0.0 0
6001 30 0 0 570 45 811 -1 -1 -1 35.4 -33.6 -83.0 -0.01 0
6040 31 0 0 570 42 756 -1 -1 -1 35.9 -34.0 -83.0 -0.01 0
6078 31 0 0 570 45 0 -1 -1 -1 35.9 -34.0 -83.0 -0.01 0
6117 31 0 0 570 48 642 -1 -1 -1 35.5 -34.1 -83.1 -0.01 0
6154 31 0 0 570 51 675 -1 -1 -1 35.5 -34.1 -83.1 -0.01 0
6193 31 0 0 570 54 847 -1 -1 -1 35.3 -33.5 -83.5 -0.01 0
6231 32 0 0 570 57 863 -1 -1 -1 35.3 -33.5 -83.5 -0.01 0
6269 32 0 0 570 60 894 -1 -1 -1 35.0 -33.1 -83.2 -0.01 0
6307 32 0 0 570 63 871 -1 -1 -1 35.1 -33.8 -83.3 -0.01 0
6346 32 0 0 570 66 851 -1 -1 -1 35.1 -33.8 -83.3 -0.01 0
6383 32 0 0 570 69 828 -1 -1 -1 35.5 -33.7 -82.9 0.0 0
6421 33 0 0 570 72 911 -1 -1 -1 35.5 -33.7 -82.9 -0.01 0
6460 33 0 0 570 75 1108 -1 -1 -1 35.4 -33.9 -83.5 -0.01 0
6498 33 0 0 570 78 1371 -1 -1 -1 35.4 -33.9 -83.5 -0.01 0
6537 33 0 0 570 81 0 -1 -1 -1 35.5 -33.7 -83.3 -0.01 0
6574 33 0 0 570 84 0 -1 -1 -1 35.5 -33.3 -83.3 -0.01 0
6613 33 0 0 570 87 0 -1 -1 -1 35.5 -33.3 -83.3 -0.01 0
6651 34 0 0 570 90 2393 -1 -1 -1 35.7 -33.6 -83.1 -0.01 0
6690 34 0 0 570 93 2638 -1 -1 -1 35.7 -33.6 -83.1 -0.01 0
6728 34 0 0 570 96 0 -1 -1 -1 35.5 -33.9 -82.8 -0.01 0
6766 34 0 0 570 99 0 -1 -1 -1 35.5 -33.9 -82.8 -0.01 0
6854 35 0 0 570 102 0 -1 -1 -1 35.3 -33.2 -83.2 -0.01 0
6893 35 0 0 570 105 0 -1 -1 -1 35.3 -33.2 -83.2 -0.01 0
6931 35 0 0 570 108 3178 -1 -1 -1 35.6 -33.7 -82.9 -0.01 0
6970 35 0 0 570 111 0 -1 -1 -1 35.6 -33.7 -82.9 -0.01 0
7007 35 0 0 570 114 0 -1 -1 -1 35.5 -33.6 -83.2 -0.01 0
7045 35 0 0 570 117 2711 -1 -1 -1 35.5 -33.6 -83.2 -0.01 0
7084 36 0 0 570 120 0 -1 -1 -1 35.0 -33.3 -83.3 -0.01 0
